Index,fsr1,fsr2,fsr3,fsr4,Posture,Age,Gender,Weight
209,1493,1968,2273,1938,straight,21,Male,65kg
210,1456,1937,2286,1933,straight,21,Male,65kg
211,1471,1951,2279,1925,straight,21,Male,65kg
212,1474,1965,2278,1918,straight,21,Male,65kg
213,1511,1955,2310,1943,straight,21,Male,65kg
214,1440,1914,2286,1950,straight,21,Male,65kg
215,1459,1950,2283,1914,straight,21,Male,65kg
216,1475,1957,2299,1949,straight,21,Male,65kg
217,1443,1982,2282,1907,straight,21,Male,65kg
218,1488,1986,2288,1927,straight,21,Male,65kg
219,1465,1984,2304,1937,straight,21,Male,65kg
220,1455,1982,2297,1952,straight,21,Male,65kg
221,1481,1945,2286,1940,straight,21,Male,65kg
222,1488,1979,2298,1930,straight,21,Male,65kg
223,1485,1996,2303,1948,straight,21,Male,65kg
224,1451,1978,2284,1934,straight,21,Male,65kg
225,1473,1979,2320,1967,straight,21,Male,65kg
226,1453,1990,2309,1942,straight,21,Male,65kg
227,1501,1968,2273,1964,straight,21,Male,65kg
228,1485,1964,2295,1983,straight,21,Male,65kg
229,1469,1988,2285,1959,straight,21,Male,65kg
230,1472,1966,2293,1950,straight,21,Male,65kg
231,1481,1951,2294,1953,straight,21,Male,65kg
232,1467,1968,2294,1955,straight,21,Male,65kg
233,1488,1919,2305,1941,straight,21,Male,65kg
234,1484,1883,2291,1951,straight,21,Male,65kg
235,1466,1937,2293,1943,straight,21,Male,65kg
236,1486,1936,2289,1963,straight,21,Male,65kg
237,1475,1931,2305,1974,straight,21,Male,65kg
238,1446,1937,2307,1968,straight,21,Male,65kg
239,1509,1949,2303,1982,straight,21,Male,65kg
240,1456,1954,2286,1968,straight,21,Male,65kg
241,1483,1970,2311,1952,straight,21,Male,65kg
242,1479,1952,2304,1949,straight,21,Male,65kg
243,1490,1958,2287,1975,straight,21,Male,65kg
244,1507,1942,2289,1976,straight,21,Male,65kg
245,1483,1919,2258,1990,straight,21,Male,65kg
246,1488,1936,2291,1942,straight,21,Male,65kg
247,1509,1937,2293,1959,straight,21,Male,65kg
248,1508,1949,2303,1949,straight,21,Male,65kg
249,1514,1921,2288,1950,straight,21,Male,65kg
250,1486,1936,2288,1940,straight,21,Male,65kg
251,1685,2107,1935,1250,lean_forward,21,Male,65kg
252,1511,1955,858,878,lean_forward,21,Male,65kg
253,1351,1939,1392,1130,lean_forward,21,Male,65kg
254,1488,2033,1451,1065,lean_forward,21,Male,65kg
255,1501,2122,1427,1008,lean_forward,21,Male,65kg
256,1482,2091,1358,910,lean_forward,21,Male,65kg
257,1515,2145,1364,848,lean_forward,21,Male,65kg
