Index,fsr1,fsr2,fsr3,fsr4,Posture,Age,Gender,Weight
166,1173,1350,2612,1643,straight,21,Male,65kg
167,1189,1359,2608,1648,straight,21,Male,65kg
168,1179,1350,2608,1646,straight,21,Male,65kg
169,1165,1358,2608,1649,straight,21,Male,65kg
170,1174,1359,2609,1653,straight,21,Male,65kg
171,1165,1357,2598,1659,straight,21,Male,65kg
172,1166,1355,2608,1652,straight,21,Male,65kg
173,1170,1357,2598,1651,straight,21,Male,65kg
174,1158,1363,2579,1623,straight,21,Male,65kg
175,1170,1371,2592,1675,straight,21,Male,65kg
176,1180,1383,2593,1673,straight,21,Male,65kg
177,1177,1374,2594,1657,straight,21,Male,65kg
178,1169,1379,2603,1680,straight,21,Male,65kg
179,1173,1363,2589,1635,straight,21,Male,65kg
180,1152,1380,2593,1651,straight,21,Male,65kg
181,1168,1381,2595,1664,straight,21,Male,65kg
182,1175,1386,2603,1666,straight,21,Male,65kg
183,1200,1387,2605,1663,straight,21,Male,65kg
184,1179,1377,2596,1666,straight,21,Male,65kg
185,1159,1372,2605,1674,straight,21,Male,65kg
186,1178,1376,2608,1680,straight,21,Male,65kg
187,1168,1367,2587,1669,straight,21,Male,65kg
188,1170,1366,2608,1679,straight,21,Male,65kg
189,1179,1378,2559,1660,straight,21,Male,65kg
190,1163,1360,2614,1678,straight,21,Male,65kg
191,1166,1363,2608,1676,straight,21,Male,65kg
192,1168,1363,2609,1678,straight,21,Male,65kg
193,1175,1370,2608,1665,straight,21,Male,65kg
194,1163,1364,2588,1680,straight,21,Male,65kg
195,1170,1362,2603,1679,straight,21,Male,65kg
196,1172,1363,2610,1679,straight,21,Male,65kg
197,1181,1360,2587,1679,straight,21,Male,65kg
198,1181,1366,2608,1678,straight,21,Male,65kg
199,1179,1373,2611,1685,straight,21,Male,65kg
200,1169,1347,2603,1684,straight,21,Male,65kg
201,1149,1371,2602,1683,straight,21,Male,65kg
202,1169,1355,2606,1687,straight,21,Male,65kg
203,1173,1382,2607,1691,straight,21,Male,65kg
204,1174,1376,2608,1674,straight,21,Male,65kg
205,1175,1373,2613,1682,straight,21,Male,65kg
206,1173,1378,2602,1683,straight,21,Male,65kg
207,1191,1349,2607,1681,straight,21,Male,65kg
208,1173,1364,2612,1648,straight,21,Male,65kg
209,1187,1370,2606,1677,straight,21,Male,65kg
210,1187,1365,2607,1691,straight,21,Male,65kg
211,1173,1373,2602,1680,straight,21,Male,65kg
212,1169,1370,2602,1685,straight,21,Male,65kg
213,1197,1363,2596,1690,straight,21,Male,65kg
214,1174,1376,2608,1693,straight,21,Male,65kg
215,1176,1377,2608,1695,straight,21,Male,65kg
216,1182,1374,2606,1716,straight,21,Male,65kg
217,1170,1363,2605,1691,straight,21,Male,65kg
218,1179,1349,2607,1705,straight,21,Male,65kg
219,1168,1374,2605,1703,straight,21,Male,65kg
220,1168,1365,2594,1710,straight,21,Male,65kg
221,1168,1376,2608,1712,straight,21,Male,65kg
222,1168,1363,2607,1708,straight,21,Male,65kg
223,1168,1369,2608,1698,straight,21,Male,65kg
224,1168,1370,2605,1697,straight,21,Male,65kg
225,1175,1367,2604,1711,straight,21,Male,65kg
226,1153,1370,2597,1699,straight,21,Male,65kg
227,1168,1366,2608,1702,straight,21,Male,65kg
228,1159,1363,2599,1683,straight,21,Male,65kg
229,1163,1370,2603,1706,straight,21,Male,65kg
230,1165,1373,2602,1702,straight,21,Male,65kg
231,1147,1367,2608,1693,straight,21,Male,65kg
232,1168,1374,2605,1697,straight,21,Male,65kg
233,1171,1387,2609,1692,straight,21,Male,65kg
234,1167,1363,2605,1681,straight,21,Male,65kg
235,1174,1373,2607,1685,straight,21,Male,65kg
236,1168,1367,2603,1685,straight,21,Male,65kg
237,1152,1366,2610,1681,straight,21,Male,65kg
238,1152,1346,2598,1680,straight,21,Male,65kg
239,1152,1373,2587,1702,straight,21,Male,65kg
240,1164,1373,2590,1705,straight,21,Male,65kg
241,1168,1375,2606,1702,straight,21,Male,65kg
242,1165,1374,2603,1707,straight,21,Male,65kg
243,1173,1375,2605,1715,straight,21,Male,65kg
244,1162,1363,2602,1701,straight,21,Male,65kg
245,1167,1374,2608,1711,straight,21,Male,65kg
246,1165,1373,2603,1711,straight,21,Male,65kg
247,1154,1370,2604,1712,straight,21,Male,65kg
248,1160,1371,2603,1708,straight,21,Male,65kg
249,1158,1386,2609,1715,straight,21,Male,65kg
250,1155,1360,2613,1712,straight,21,Male,65kg
251,1166,1365,2612,1705,lean_forward,21,Male,65kg
252,1446,1605,2191,1490,lean_forward,21,Male,65kg
253,1473,1535,1766,1135,lean_forward,21,Male,65kg
254,1102,1405,1615,1171,lean_forward,21,Male,65kg
255,1121,1421,1605,1206,lean_forward,21,Male,65kg
256,1135,1424,1674,1210,lean_forward,21,Male,65kg
257,1136,1414,1690,1201,lean_forward,21,Male,65kg
258,1104,1419,1689,1190,lean_forward,21,Male,65kg
259,1072,1428,1690,1215,lean_forward,21,Male,65kg
260,1068,1415,1707,1225,lean_forward,21,Male,65kg
261,1066,1408,1680,1213,lean_forward,21,Male,65kg
262,1040,1406,1665,1228,lean_forward,21,Male,65kg
263,1008,1377,1685,1216,lean_forward,21,Male,65kg
264,1151,1396,1686,1179,lean_forward,21,Male,65kg
265,1127,1323,1682,1163,lean_forward,21,Male,65kg
266,1177,1559,1680,1147,lean_forward,21,Male,65kg
267,1261,1679,1090,1040,lean_forward,21,Male,65kg
268,1598,1744,1535,1041,lean_forward,21,Male,65kg
269,1216,1645,1694,932,lean_forward,21,Male,65kg
270,1186,1629,1703,944,lean_forward,21,Male,65kg
271,1161,1639,1675,965,lean_forward,21,Male,65kg
272,1135,1648,1695,981,lean_forward,21,Male,65kg
273,1149,1644,1679,970,lean_forward,21,Male,65kg
