,fsr1,fsr2,fsr3,fsr4,posture,age,gender,weight
206,1409,410,1977,1693,lean_backward,21,Male,65kg
207,1360,338,1936,1648,lean_backward,21,Male,65kg
208,1299,336,1957,1628,lean_backward,21,Male,65kg
209,1313,358,1889,1601,lean_backward,21,Male,65kg
210,1354,368,1941,1647,lean_backward,21,Male,65kg
211,1485,405,2003,1744,lean_backward,21,Male,65kg
212,1658,394,2021,1839,lean_backward,21,Male,65kg
213,1561,432,2015,1788,lean_backward,21,Male,65kg
214,1462,415,2026,1744,lean_backward,21,Male,65kg
215,1373,449,2056,1714,lean_backward,21,Male,65kg
216,1360,384,2090,1725,lean_backward,21,Male,65kg
217,1574,464,2081,1827,lean_backward,21,Male,65kg
218,1590,442,2032,1811,lean_backward,21,Male,65kg
219,1622,487,1932,1777,lean_backward,21,Male,65kg
220,1712,493,1951,1831,lean_backward,21,Male,65kg
221,1718,470,1925,1821,lean_backward,21,Male,65kg
222,1745,496,1951,1848,lean_backward,21,Male,65kg
223,1744,527,1975,1859,lean_backward,21,Male,65kg
224,1728,511,1951,1839,lean_backward,21,Male,65kg
225,1741,497,1985,1863,lean_backward,21,Male,65kg
226,1765,548,1989,1877,lean_backward,21,Male,65kg
227,1798,543,2001,1899,lean_backward,21,Male,65kg
228,1767,536,1987,1877,lean_backward,21,Male,65kg
229,1781,535,1977,1879,lean_backward,21,Male,65kg
230,1776,542,1981,1878,lean_backward,21,Male,65kg
231,1806,544,2006,1906,lean_backward,21,Male,65kg
232,1795,533,2001,1898,lean_backward,21,Male,65kg
233,1761,533,2014,1887,lean_backward,21,Male,65kg
234,1805,526,2012,1908,lean_backward,21,Male,65kg
235,1819,509,1961,1890,lean_backward,21,Male,65kg
236,1830,526,1902,1866,lean_backward,21,Male,65kg
237,1876,566,1940,1908,lean_backward,21,Male,65kg
238,1945,592,1946,1945,lean_backward,21,Male,65kg
239,1904,362,2015,1959,lean_backward,21,Male,65kg
240,1918,464,1983,1950,lean_backward,21,Male,65kg
241,1962,533,2022,1992,lean_backward,21,Male,65kg
242,1957,537,2032,1994,lean_backward,21,Male,65kg
243,1971,549,2065,2018,lean_backward,21,Male,65kg
244,1954,546,2014,1984,lean_backward,21,Male,65kg
245,1744,549,2016,1880,lean_backward,21,Male,65kg
246,1740,535,2055,1897,lean_backward,21,Male,65kg
247,1733,463,2073,1903,lean_backward,21,Male,65kg
248,1648,528,2097,1872,lean_backward,21,Male,65kg
249,1680,506,2059,1869,lean_backward,21,Male,65kg
250,1650,463,1767,1708,lean_backward,21,Male,65kg
251,1599,454,1652,1625,lean_backward,21,Male,65kg
252,1281,297,1504,1392,lean_backward,21,Male,65kg
253,1306,351,1511,1408,lean_backward,21,Male,65kg
254,1281,308,1535,1408,lean_backward,21,Male,65kg
255,1287,320,1600,1443,lean_backward,21,Male,65kg
256,1310,305,1616,1463,lean_backward,21,Male,65kg
257,1407,291,1817,1612,lean_backward,21,Male,65kg
258,1677,336,1807,1742,lean_backward,21,Male,65kg
259,1779,304,2037,1908,lean_backward,21,Male,65kg
260,1779,451,2273,2026,lean_backward,21,Male,65kg
261,1802,478,2266,2034,lean_backward,21,Male,65kg
262,1789,502,2251,2020,lean_backward,21,Male,65kg
263,1785,511,2224,2004,lean_backward,21,Male,65kg
264,1776,538,2006,1891,lean_backward,21,Male,65kg
265,1820,455,2022,1921,lean_backward,21,Male,65kg
266,1854,449,2000,1927,lean_backward,21,Male,65kg
267,1888,464,2000,1944,lean_backward,21,Male,65kg
268,1887,364,2032,1959,lean_backward,21,Male,65kg
269,1926,410,2032,1979,lean_backward,21,Male,65kg
270,1930,439,2058,1994,lean_backward,21,Male,65kg
271,1947,507,2098,2022,lean_backward,21,Male,65kg
272,1933,527,2081,2007,lean_backward,21,Male,65kg
273,1957,591,2082,2019,lean_backward,21,Male,65kg
274,1856,560,2112,1984,lean_backward,21,Male,65kg
275,1936,582,2127,2031,lean_backward,21,Male,65kg
276,1867,608,2102,1984,lean_backward,21,Male,65kg
277,1990,619,2129,2059,lean_backward,21,Male,65kg
278,1968,608,2137,2052,lean_backward,21,Male,65kg
279,1980,624,2149,2064,lean_backward,21,Male,65kg
280,1862,586,2172,2017,lean_backward,21,Male,65kg
281,1891,557,2172,2031,lean_backward,21,Male,65kg
282,1886,565,2178,2032,lean_backward,21,Male,65kg
283,1898,576,2185,2041,lean_backward,21,Male,65kg
284,1893,557,2160,2026,lean_backward,21,Male,65kg
285,1904,576,2181,2042,lean_backward,21,Male,65kg
286,1872,528,2167,2019,lean_backward,21,Male,65kg
287,1872,535,2163,2017,lean_backward,21,Male,65kg
288,1904,550,2154,2029,lean_backward,21,Male,65kg
289,1909,563,2258,2083,lean_backward,21,Male,65kg
290,1901,511,2269,2085,lean_backward,21,Male,65kg
291,1899,511,2176,2037,lean_backward,21,Male,65kg
292,1950,537,2179,2064,lean_backward,21,Male,65kg
293,1939,531,2167,2053,lean_backward,21,Male,65kg
294,1889,511,2176,2032,lean_backward,21,Male,65kg
295,1907,503,2193,2050,lean_backward,21,Male,65kg
296,1846,491,2210,2028,lean_backward,21,Male,65kg
297,1889,526,2228,2058,lean_backward,21,Male,65kg
298,1889,511,2188,2038,lean_backward,21,Male,65kg
299,1865,474,2179,2022,lean_backward,21,Male,65kg
300,1849,482,2186,2017,lean_backward,21,Male,65kg
301,1854,511,2205,2029,lean_left,21,Male,65kg
302,2060,457,2130,2095,lean_left,21,Male,65kg
303,2250,485,1014,1632,lean_left,21,Male,65kg
304,2255,526,448,1351,lean_left,21,Male,65kg
305,2263,537,477,1370,lean_left,21,Male,65kg
306,2267,511,495,1381,lean_left,21,Male,65kg
307,2265,499,526,1395,lean_left,21,Male,65kg
308,2261,477,464,1362,lean_left,21,Male,65kg
309,2287,499,530,1408,lean_left,21,Male,65kg
